crop_name,area,soil_type,season,irrigation_type,rainfall,temperature,humidity,yield_tons
cauliflower,7.45,black,kharif,flood,838.8,22.3,56.2,22.12
brinjal,1.04,loamy,zaid,sprinkler,949.8,34.1,50.0,5.21
tomato,0.57,black,rabi,sprinkler,320.8,27.9,66.0,2.75
potato,6.13,black,zaid,rainfed,341.8,29.1,56.8,23.43
wheat,4.16,loamy,rabi,sprinkler,314.4,23.5,59.6,16.58
brinjal,4.22,sandy,zaid,sprinkler,464.0,31.3,67.0,12.34
wheat,8.5,clay,kharif,flood,704.8,25.9,87.1,27.65
brinjal,0.93,clay,zaid,rainfed,592.8,25.8,60.9,3.1
chili,3.31,black,kharif,drip,448.7,20.2,66.9,8.63
brinjal,2.39,black,zaid,flood,940.2,31.9,74.2,11.33
chili,6.42,black,zaid,drip,597.8,21.0,62.4,15.66
potato,5.83,black,rabi,flood,644.6,34.6,84.0,38.29
cauliflower,0.88,sandy,rabi,flood,939.6,21.7,67.6,2.56
cauliflower,7.11,loamy,kharif,rainfed,425.4,29.1,71.6,20.22
cauliflower,8.86,sandy,zaid,sprinkler,861.9,24.4,54.2,26.98
wheat,3.58,clay,rabi,flood,409.9,25.3,86.3,9.57
chili,3.4,black,kharif,drip,448.2,28.0,69.4,10.68
brinjal,2.58,sandy,zaid,sprinkler,802.3,26.1,52.6,7.92
cauliflower,1.91,clay,zaid,drip,1198.0,24.0,89.1,7.24
cauliflower,2.78,loamy,kharif,drip,430.4,27.3,89.4,10.52
wheat,2.76,sandy,zaid,rainfed,955.4,25.5,75.3,6.97
tomato,7.11,loamy,zaid,sprinkler,1072.5,24.9,58.8,47.96
potato,9.43,black,zaid,rainfed,657.8,27.8,83.5,50.55
chili,5.64,loamy,rabi,flood,926.2,23.4,57.0,18.14
wheat,9.96,black,kharif,sprinkler,1168.9,28.4,85.3,34.81
chili,8.54,sandy,zaid,rainfed,1070.7,26.1,85.5,16.26
tomato,6.26,black,rabi,rainfed,308.3,21.5,76.5,21.57
onion,6.69,clay,rabi,flood,501.8,30.7,59.5,24.24
wheat,6.75,black,zaid,flood,811.5,21.4,64.7,19.86
cabbage,8.97,clay,kharif,flood,868.0,31.9,70.1,34.19
tomato,3.17,loamy,kharif,rainfed,321.9,29.7,57.1,15.95
rice,0.65,clay,zaid,rainfed,1135.5,26.4,88.7,2.86
tomato,4.16,black,zaid,drip,1066.0,24.8,56.8,27.18
cabbage,1.17,clay,zaid,rainfed,488.0,30.1,64.3,2.89
onion,7.12,clay,kharif,rainfed,932.2,25.4,61.7,28.43
potato,9.18,clay,kharif,rainfed,760.2,27.5,81.9,47.85
potato,6.0,sandy,zaid,rainfed,694.6,30.1,63.1,21.35
cabbage,2.88,clay,rabi,sprinkler,335.0,24.5,71.5,10.44
brinjal,1.31,loamy,kharif,flood,346.5,28.0,71.6,5.77
wheat,5.4,black,kharif,sprinkler,590.7,31.9,60.8,18.72
cauliflower,9.65,clay,kharif,sprinkler,1052.4,30.4,66.4,33.47
tomato,5.72,sandy,rabi,rainfed,943.1,29.9,61.2,27.18
cauliflower,6.31,black,zaid,drip,677.6,23.7,64.2,29.32
chili,0.94,loamy,rabi,rainfed,336.7,32.8,78.1,1.89
rice,4.62,sandy,kharif,sprinkler,658.7,29.2,75.4,16.51
potato,6.76,clay,kharif,rainfed,446.6,21.1,75.7,24.68
wheat,6.61,black,rabi,flood,712.4,28.2,87.7,21.77
